# H, m	T (K)	P, Nm2	    rho, kgm3	a, m/s
140000	690.23	9.9656E-04	4.4059E-09	562.73
138000	662.03	1.0850E-03	5.0219E-09	549.98
136000	633.20	1.1862E-03	5.7642E-09	536.75
134000	603.80	1.3028E-03	6.6673E-09	523.03
132000	573.92	1.4382E-03	7.7777E-09	508.80
130000	543.64	1.5971E-03	9.1586E-09	494.10
128000	513.08	1.7852E-03	1.0897E-08	478.91
126000	482.33	2.0105E-03	1.3117E-08	463.23
124000	451.51	2.2837E-03	1.5994E-08	447.10
122000	420.96	2.6195E-03	1.9776E-08	430.63
120000	391.14	3.0381E-03	2.4813E-08	414.02
118000	362.27	3.5586E-03	3.1544E-08	397.42
116000	334.29	4.2072E-03	4.0626E-08	380.77
114000	307.30	5.0374E-03	5.3200E-08	364.09
112000	281.47	6.1342E-03	7.1147E-08	347.43
110000	256.31	7.6369E-03	9.7908E-08	330.46
108000	236.08	9.7576E-03	1.3670E-07	316.12
106000	218.13	1.2808E-02	1.9552E-07	302.84
104000	204.10	1.7282E-02	2.8394E-07	291.91
102000	194.53	2.3846E-02	4.1385E-07	284.02
100000	186.92	3.3513E-02	6.0943E-07	277.47
98000	183.88	4.7755E-02	8.8752E-07	274.46
96000	182.10	6.8407E-02	1.2906E-06	272.41
94000	182.59	9.9068E-02	1.8719E-06	272.20
92000	185.12	1.4414E-01	2.6950E-06	273.64
90000	188.00	2.0815E-01	3.8446E-06	275.31
88000	191.50	2.9567E-01	5.3673E-06	277.71
86000	195.01	4.1743E-01	7.4491E-06	280.09
84000	198.22	5.8439E-01	1.0266E-05	282.30
82000	201.03	8.1207E-01	1.4068E-05	284.28
80000	203.76	1.1235E+00	1.9203E-05	286.20
78000	206.03	1.5487E+00	2.6179E-05	287.79
76000	208.28	2.1284E+00	3.5588E-05	289.36
74000	211.57	2.9186E+00	4.8046E-05	291.62
72000	215.86	3.9834E+00	6.4285E-05	294.53
70000	220.11	5.4040E+00	8.5552E-05	297.38
68000	226.37	7.2811E+00	1.1209E-04	301.56
66000	232.53	9.7301E+00	1.4583E-04	305.63
64000	238.16	1.2920E+01	1.8903E-04	309.34
62000	243.32	1.7070E+01	2.4440E-04	312.70
60000	248.43	2.2427E+01	3.1444E-04	316.00
58000	253.49	2.9288E+01	4.0259E-04	319.14
56000	258.59	3.8052E+01	5.1291E-04	322.28
54000	262.42	4.9199E+01	6.5349E-04	324.66
52000	265.00	6.3429E+01	8.3410E-04	326.29
50000	267.67	8.1578E+01	1.0619E-03	327.95
48000	266.76	1.0476E+02	1.3681E-03	327.42
46000	265.90	1.3463E+02	1.7638E-03	326.90
44000	263.47	1.7329E+02	2.2911E-03	325.41
42000	259.38	2.2388E+02	3.0066E-03	322.87
40000	255.19	2.9021E+02	3.9614E-03	320.25
38000	249.51	3.7872E+02	5.2875E-03	316.66
36000	243.81	4.9732E+02	7.1057E-03	313.02
34000	238.30	6.5752E+02	9.6138E-03	309.44
32000	233.04	8.7510E+02	1.3090E-02	305.93
30000	227.71	1.1711E+03	1.7935E-02	302.35
28000	222.12	1.5759E+03	2.4722E-02	298.74
26000	217.32	2.1351E+03	3.4230E-02	295.51
24000	213.91	2.9199E+03	4.7558E-02	293.18
22000	208.77	4.0243E+03	6.7159E-02	289.64
20000	203.41	5.5755E+03	9.5505E-02	285.89
18000	199.76	7.8141E+03	1.3629E-01	283.32
16000	202.57	1.0959E+04	1.8849E-01	285.30
14000	210.61	1.5237E+04	2.5208E-01	290.90
12000	219.87	2.0857E+04	3.3048E-01	297.25
10000	232.41	2.8154E+04	4.2200E-01	305.62
8000	246.69	3.7336E+04	5.2712E-01	314.90
6000	260.53	4.8822E+04	6.5256E-01	323.64
4000	272.73	6.2973E+04	8.0372E-01	331.20
2000	281.99	8.0449E+04	9.9145E-01	337.05
0		290.00	1.0200E+05	1.2210E+00	341.98
